Category,Description
Operations,Modify issue at in case of rma hold qty
Other,Upgradation check indent and sparepartindent script
IT,"Status ,validation on customerenquiry and css"
Operations,Adding records in material receipt v2
Operations,Release main form exe after removing msg
Operations,Check voucher date validation for financial year range
Operations,Sale schedule config lock and post dated entries
Operations,Shram jayant talk related to gstr2 entries 17-18
Operations,TCS details report
Operations,Party wise tcs details sale report
IT,Wifo adapter bill BSL
IT,"Start development Rejection decision , Scrap voucher , In process inspection"
IT,"Sfm login, splash toolbar"
IT,"2 colour related bugs in sheet point (7, 9 )"
IT,Dhdnz
IT,#Bug - Krishna Enterprises
Miscellaneous,Bsl strokes mismatch check
Operations,Order material sale error in grnv2
Operations,Bsl IT stroke mismatch
Operations,Voucher error of bspl currency conversion
Operations,Consumable tool master print
Operations,Sale bill book trader partyname getvalue query
Other,Sale billbooktrader bill pronlem solve
Miscellaneous,Routecard closure checking yield
Operations,"Grn doc qty error in sale return, rework return"
Operations,Sale return IT
Operations,rajhans for yield report woth sonal sir nd daljeet sir
Operations,bhatia. for machine checking
Marketing & Sales,Rajhans training with sonaal rc yield
Operations,Release menu
Operations,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>[Sub-2] Vuxrjxhr"
Operations,Packaging master print file
IT,Line rejection voucher postponed discussion
IT,Route card target days deepak call discussion
Miscellaneous,Mail to biometric attendance spjimr
IT,Multiplication factor per piece on tool screen
IT,Test
IT,"Planning yield RC wise Po wise , Bucket stock and store and work center"
Operations,bsl mdu
IT,"Report cost of production RC wise ( RM ,BOP , Consumable , process cost"
Operations,data base check
IT,Material issue module on click bug
Operations,Target qty se extra hote hi color red hot jana chaiye
Miscellaneous,Quardplay payment 3402
Operations,"11 scripts , 6 print files and 1 prp"
IT,MDU configuration wrong in KE - CNC not Press
Other,Check indent and spare part indent printing
Operations,Sale return IT checking
Operations,Capa Analysis printing file checking
Operations,Material receipt v2 printing file checking
Operations,Packaging master v1 printing file checking
Other,Check printing file salebillbooktrador and ppcmtsv1
IT,#Bug - Krishna Enterprises
Finance,hdfc bank uti bank for payments
Other,Check dpr report
Operations,Yaman gst invoice print file
IT,IT css and updation
Other,Work order production report updation
Operations,Checking of printing file material receipt v2
Operations,Training of new cases hold and scrap and any new cases to rashmi
Operations,bhatia. for mdu checking
Operations,S1/6 Module name DPR
Operations,S2/6 Module name DPR
Operations,S3/6 Module name DPR
Operations,S4/6 Module name DPR
Operations,S5/6 Module name DPR
Operations,S6/6 Module name DPR
Operations,promptech for check
IT,#Bug - Krishna Enterprises
Training,Ycct
Operations,[Sub] Vuxrjxhr
Operations,Grnv2 linked in gen daybook
Miscellaneous,Priya score 3 months
Operations,Hide hold qty column in ppcproductionreportv1
Operations,Scrab handling in mts MTA material receipt
Operations,Rc status purchase invoice wise
Operations,Debit note krn print file added sundry details
Operations,4 scripts 5 print files
Other,Feed workorderv1
Operations,Profit loss vs sale report
Operations,Jobwork isp ledger discuss
Operations,Imir printing file
Operations,Print format of mts
IT,Suggestion/Bug Report
IT,#Bug - HEX
Operations,Royal tool sync
IT,Test
Operations,Routecard view of Production entries based on config
Operations,Sale return IT printing reopen
Operations,followup in krishna bsl nd bhatia nd work on call IT
Other,market for food
Operations,Stock reco jobwork check from mainform and also in ems
Operations,Arvind 24 backup
Other,Dpr updation add fields
Operations,"5 scripts, 1 print file 1 dll"
IT,networking problem in rajshree
Operations,Work order of rajhans transfer
Operations,Added configuration of only sale in dispatch advice 2
Operations,Troubleshooting of my system hexpc because it is running very slow
Miscellaneous,coffe machine service
Other,chole bhature
Operations,arvind sql insatll
Operations,Adding feilds in production slip report
IT,"IT angent and css,customerenquiry validation"
IT,#Bug - Euro Aircon International
IT,Rajhans week Work
Operations,"Check production report, mta and material receipt from app after upgrade"
Operations,Rajhans mohan ji mobile app production feeding
Operations,Main form exe on open change name from form 1 to sfm and also on open sfm must login
Operations,4 scripts to release
Operations,[Sub-2] Vuxrjxhr
Operations,12 scripts 1 prp
IT,Test due date tickets
Operations,bhatia. for checking
Other,Sale billbook trader bill problem solve
Operations,rajhans data base nd mdu IT
Other,Work order production detail report
IT,Time table
Other,Check salereturncomplaintregister
Finance,rajhans industries for cheque
Operations,Account master scroll bar change to hscrolllong
Marketing & Sales,Call priyanka promptech
Marketing & Sales,Escorts Payment chaseup
Operations,Material issuev3 qty double click on location details button
Planning,Family tool Production datebook report
Other,Hand wash refill
Operations,Require dpragainst field in dpr
Operations,Checking of capa analysis priting file
Operations,Checking of packaging master printing file
Operations,Define scrap in mts and material receipt and rc status and closed rc
IT,#Bug - Arvind Group
Operations,Discussion on bomv4 changes
Operations,"19 scripts , 5 print files , 2 prp , 1 dll"
Operations,Addition of purchase schedule entry from ppc
IT,#Bug - Euro Aircon International
Operations,"Mobile notification after mat.issue,prod.report,rc closure and rights mechanism"
Operations,"QR code based scanning including trolley scan ,location scan,material scan"
Operations,Material receipt and issue unload and load weight feeding option
Operations,Pick route card qty from ppc planning
Operations,Notification goto production person if target qty exceed
Operations,Challanoutv1 added additional fields
Operations,Salary sheet change the place of payable column
Operations,Svarn purchase order part rate
Operations,Challan out delivery challan alumax printing file alternate qty and alt unit column a
Operations,2 scripts and 1 print file
Marketing & Sales,Rajhans and coldforge sfm visit
Miscellaneous,Workorder billbook search criteria view changed
Operations,Rejection hold addition and removal process rej
Operations,Doing done config on rc status
Other,Dpr report
Operations,Monthly_sale_dispatch report
Operations,bsl for mdu
Other,sector 7 for papers
Finance,arvind for cheque
Operations,Packing slip print file
Operations,Saket work order trfr
Operations,Checking of consumable tool master and production report printing files
Operations,rajhans database in ofc
Operations,bhatia. to meet new person
IT,Swastik engg IT pending payment 10000
Operations,Routecard rm closure hold qty
Operations,Condor jobwork bill entries
Operations,Swastik purchase order amnd print file
Miscellaneous,IT
Miscellaneous,Gurupurab half day
Operations,Total qty column in delivery challan yaman
Operations,4 scripts 1 prp and 1 print file
IT,"RM, cutting , BOP , consumable, machine loading , production plan , dispatch plan"
IT,"Status,paging and design and css IT"
Other,"Agent modal,customer enquiry change"
Operations,"Payment chase -Pa,shivtool,svarn,span,kp"
IT,Test
Other,"IT agent,customer enquiry search,html quotation"
Operations,"Consumable tool,consumable items,child part master case check"
Operations,Company Tan no in gst and invoice company details
IT,Suggestion/Bug Report
IT,#Bug - HEX
Operations,Custom form required in material requirement in ppc in case of purchase schedule
Operations,sector 7. for wifi
Other,Dpr report
Other,"IT customerenquiry validation,agent key up,search by contact and customerid"
IT,Rajhans RC no. 081220-0001 WIP Closure Bug
Operations,Rajhans -stock reco not working properly rc no 031220-0001-0
Operations,Ssspl vehicle production posting design and contractor bill understanding
Operations,Cannot create a file when that file already exist msg coming
Miscellaneous,Printer installed on jyoti pc
Miscellaneous,Printer installed on priya pc
Finance,"Need Hdfc bank statement and all others passbook,Salary certificate,Form 16 of Anju d"
Operations,Security permission mein click Karne mein msg aa raha hain
Operations,bsl for check nd mdu
Operations,rajhans. daily visit
Operations,Sale order rate lock last order rate
Operations,Conversion error gross weight in child part master
Operations,Alumax gstinvoice saving
Marketing & Sales,IT
Other,Check spare part indent and indent priniting file
Operations,4 scripts 1 print file to upgrade
Miscellaneous,Sector 7 router chaseup
Operations,Sfm test case- Hold qty with 2 operation and check yield and qty completed also
Other,Dpr script
Operations,IT. meeting at rajhans
Operations,S1/6 Contractor billbook
Operations,S2/6 Contractor billbook
Operations,S3/6 Contractor billbook
Operations,S4/6 Contractor billbook
Operations,S5/6 Contractor billbook
Operations,S6/6 Contractor billbook
Finance,Mutual fund summary last year
Finance,Parties TDS amount make in excel sheet
Operations,List of manifest modules
Operations,"1 script , 1 print file"
Operations,Saac purchase bill Arvind unit II
Operations,Ps metal grnv2 to grnv2
IT,Suggestion/Bug Report
IT,#Bug - HEX
Operations,2 scripts 1print file
Operations,Wip rejection decision
Operations,Ipl workorder error debug
IT,transfer mdu. fro.bhatia. to rajhans
IT,bsl for. mdu.
IT,rajhans. for new mdu setup
Finance,hdfc bank for paymnt bob bank nd union bank
Other,mdu installing software
Operations,GRN daybook report opening error
Operations,Routecard rm closure and net rcvd qty
Operations,Bhatia material receipt problem
Other,S3/6 wip rejection decision
IT,Suggestion/Bug Report
IT,#Bug - HEX
Operations,Upload scripts of workorder and imir
Operations,"10 scripts 2 print file,1 prp"
Operations,Saac work order billbook
Operations,Taj reference wise returnable challan data mismatch
Operations,Bhatia routecard target qty identify
Operations,Rajhans routecard cross check
Operations,Rajhans routecard cross check
Miscellaneous,IT of routecard of net rcvd qty
Operations,Get invoice inv jayem printing file modification
IT,test
Operations,Challan out additional fields required
Finance,vaishali for cheque secr 24
Operations,sector 7 for wifi
Marketing & Sales,Send empname as data in redflag notification
Operations,office calls nd IT work
Operations,Sita Singh unit 2 backup
Operations,Work order contractor print out
Operations,Notification go to prod person of target qty exceed
Finance,Advance 500
IT,"Customerenquiry validation,pdf and agent field modal"
Operations,Imir printing file
Operations,rajshree. for systen nd cheque
Other,sector 7 camera follow up
Finance,hdfc bank
Operations,Purchase orderv1 remove restrictionon item validity
Operations,Joborderv1 print environment party name value mismatch
Operations,Release 1 script in 17_12
Operations,"Module wiprejectiondecision,2 prp,10 scripts"
Operations,Family product case on route card status
Operations,One tab not opening in routecard status
Operations,Daily Scripts
Operations,24 scripts in 17_12 folder
Other,IT leads agent and status
IT,#Bug - Technowell
IT,#Bug - Promptech Industrial Products
Other,sanjay samosa nd paper plate nd glass
Other,Product master trader
Other,"IT modal recid show,quotation status,leads page"
Operations,Purchase price comparison chart new
Operations,Technowell purchase billbook purchase order and selection lock on approval pending
IT,jm data shift.
IT,app IT
Other,Check DPR quantity allowance
Other,Dpr Qty allowance
Operations,Duplicate empid in employee registration
Operations,In app rights refresh
Operations,Explain calculation of Marks criteria in Track hr
Miscellaneous,List of Planning
Finance,hdfc bandk for cheq
Operations,Purchase order amnd case of technowell
Operations,"7 scripts, 6 print file"
Miscellaneous,Please review Activity timings for Rashmi and Sahil
IT,Suggestion/Bug Report
IT,#Bug - HEX
Operations,Photocopy asset bills
IT,Krishna
Operations,Added next year provision in purchase schedule
Operations,Account master approval lunkung
Operations,Total scrap column
Operations,Child part and finished good master query in netweight validations
IT,Raw material master mai tolerance improper hai
Operations,Training of Sfm jobwork to sahil
Operations,Check saac jobwork isp stock less from invoice
Other,Check salebillbooktrader printing file
Operations,Checked stock st workcenter query for month name order
Operations,S1/6 Wip rejection decision
Operations,S2/6 Wip rejection decision
Operations,S3/6 Wip rejection decision
Operations,S4/6 Wip rejection decision
Operations,S5/6 Wip rejection decision
Operations,S6/6 Wip rejection decision
Other,Tool history care report submission
Operations,Family product registry and purchase order print
